1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;empresa_competencia;NF
;0200;000021;LANCHE DE FGO LEBOM PC 3,5KG;;;KG;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000099;ACEM RESFR XINGUARA;;;KG;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000005;BATATA MCCAIN KG;;;UND;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000039;SOBRECOXA BDJ PIONEIRO CX 12KG;;;CX;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000041;EXTRATO DE TOMATE TP 1,080KG;;;UN;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000036;QUEIJO MANTEIGA KG;;;KG;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000038;QUEIJO PROVOLONE PALAC 500GR;;;KG;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000032;MOSTARDA TAMBAU 800GR;;;UN;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000014;ERVILHA LT 200GR;;;CX;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000049;PICANHA SUINA CONG TEMPERADA;;;KG;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000051;ERVILHA QUERO LT 2 KG;;;UN;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000029;MILHO VERDE QUERO LT 24X200GR;;;CX;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000065;MOLHO TRADICIONAL QUERO SC 12/1020KG;3789610250438;;UN;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000068;SALSICHA DE FGO CONG AVIVAR PT 5KG;;;KG;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0200;000066;QUEIJO COALHO 1,85 KGS;;;KG;00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
