1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;empresa_competencia;NF
;C170;1;002203;;64;BD;8640;;0;000;2102;;8640;12;1036,8;0;;0;;02;;;;;;;;;;;;;;;;;;;1;29210202626466000112550010001367641100145943
;C170;1;002034;;20;FRD;618;;0;060;2403;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;1;26210284140101053556551010005787671564834917
;C170;2;001689;;300;FRD;8985;;0;060;2403;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;1;26210284140101053556551010005787671564834917
;C170;1;001997;;480;UN;1584;;0;000;2102;;1584;12;190,08;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;2;001998;;240;UN;792;;0;000;2102;;792;12;95,04;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;3;001381;;1000;UN;4400;;0;000;2102;;4400;12;528;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;4;001380;;8505;UN;28917;;0;000;2102;;28917;12;3470,04;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;5;002332;;540;UN;1917;;0;000;2102;;1917;12;230,04;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;6;001437;;360;CX;6220,8;;0;000;2102;;6220,8;12;746,5;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;7;002070;;120;UN;408;;0;000;2102;;408;12;48,96;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;8;001409;;14256;UN;27799,2;;0;000;2102;;27799,2;12;3335,9;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;9;002004;;120;UN;1146;;0;000;2102;;1146;12;137,52;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;10;001722;;720;UN;1224;;0;000;2102;;1224;12;146,88;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;11;002248;;240;UN;1080;;0;000;2102;;1080;12;129,6;0;;0;;02;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;12;001813;;120;UN;570;;0;000;2102;;570;12;68,4;0;;0;;;;;;;;;;;;;;;;;;;;;1;52210201519995000133550010007195291466889056
;C170;1;000625;;400;PT;19440;;0;000;2102;;19440;7;1360,8;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41210277579395000228550050021621791138201304
;C170;2;001539;;462;PC;10494,33;;0;000;2102;;10494,33;7;734,6;0;;0;;02;;;;;;;;;;;;;;;;;;;1;41210277579395000228550050021621791138201304
