1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;empresa_competencia;NF
;0150;156;INDUSTRIA TAMBAQUI;1058;02423534000192;;000461648;2605103;;AVENIDA INOCNCIO LIMA;SN;;CUSTODIA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;516;BRAZ FRUIT;1058;00707977000154;;207988894;2403251;;R PRES TANCREDO NEVES;SN;;SANTA TEREZA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;658;MERCADINHO NOSSA SENHORA DOS IMPOSSIVEIS;1058;01311313000100;;207844489;2402006;;RUA GENERINA VALE;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;889;MERCADINHO ZONA NORTE;1058;07972329000183;;209310136;2402006;;R MANOEL DANTAS;SN;SC;PENEDO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;1051;MERCADINHO MIRAGEM;1058;04443134000161;;208625269;2402006;;RUI MARIZ;SN;;BOA PASSAGEM;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;1065;CIA ENERGIA;1058;08689196000181;;205991990;2408102;;RUA MERMOZ;SN;;BALDO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;1111;COOPERATIVA CENTRAL;1058;77579395000228;;420122112;4115804;;R BAHIA;SN;SC;FRIMESA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;1187;MERCADINHO ROMAO;1058;10709297000136;;202472747;2402006;;AV CEL MARTINIANO;SN;;MAYNARD;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;1512;MERCADINHO SOUZA;1058;08887078000156;;;2402006;;RUA OLEGARIO VALE;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2443;COMERCIAL CAMPELO;1058;03237272000200;;208283828;2408102;;AV CAPITAO MOR GOUVEIA;SN;;LAGOA NOVA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2637;ZIHEN BRASIL AS;1058;50700707000472;;108244427;5214507;;ROD 080 GOIANIA NEROPOLIS;SN;SC;Z RURAL;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4013;MERCADINHO JK;1058;08380403000124;;201732370;2408508;;JOSE DA PENHA;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4230;AGROINDUSTRIAL SOVEMA;1058;06164241000109;;904599574;4105607;;ROD PR 082 KM 317;SN;SC;GLEBA AROEIRA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4268;NATURAL ALIMENTOS;1058;17477474000173;;003787579;5103254;;ROD BR 163 KM 585;SN;;IND SUL;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4317;COOPERATIVA LAR AGROINDUSTRIA;1058;77379293006048;;901866850;4115606;;ROD BR 277;SN;;AGROCAFEEIRA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4373;MERCADINHO SERVE BEM;1058;13534745000132;;;2405702;;RUA JOSE MOISES;;;SAO JOAO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4412;MERCADINHO ITAU;1058;02422024000171;;203150510;2400109;;RUA TEOFILO DANTAS;;;TARCISIO BEZERRA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4441;MERCEARIA BRASIL;1058;35356363000114;;203011100;2405702;;RUA DR OTAVIO LAMARTINE;;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4507;MERCADINHO DO CUNHADO;1058;03638486000191;;204743472;2400109;;R. SEBASTIAO DA VIUVA;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4508;MERCADINHO GUARAPARY;1058;08089890000184;;200594955;2400109;;R. CEL.FCO BEZERRA;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;4536;MERCADINHO TANGARA;1058;08580205000144;;207974790;2405702;;R. JUSTINO DANTAS;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;5068;MERCADINHO MARLY;1058;11317373000150;;202145418;2400109;;R. SILVINO ADONIAS B.;SN;;ARIDI PINHO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;6632;MERCADINHO JANDAIRENSE;1058;07371913000111;;200190916;2406106;;SITIO BONITO;;SC;ZONA RURAL;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;6718;MERCADINHO MACENA;1058;07878288000158;;209140416;2408508;;R. JOSE BITICO;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;6750;MERCEARIA SOARES;1058;70508485000108;;203527258;2405702;;AV. DR. RUI MARIZ;SN;SC;MATADOURO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;7286;MERCADINHO MORAIS;1058;12721417000108;;203379737;2404804;;R. T. V SEVERINO;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;7500;MERCADINHO GUEDES;1058;13436164000111;;204760674;2402006;;R. JOSE PAULO FILGUEIRA;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;32480;PADARIA E MERCEARIA SANTO ANTONIO;1058;22927579000105;;202753574;2402006;;RUA GENERINA VALE;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;100455;O PONTO MERCADINHO E VARIEDADES;1058;13738587000109;;204698963;2403251;;RODOVIA BR-304;;SC;PARQUE DE EXPOSICOES;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2022868;MERCADINHO DO POVO;1058;02220202000108;;208500057;2408508;;RUA MANOEL CORREIA;SN;SC;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2025327;DISTRIBUIDORA CONEXAO LJ3;1058;11215452000118;;202509051;2402006;;R INACIO GOMES OLIVEIRA;SN;;ALTO DA BOA VISTA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2025367;PADARIA CONSTANCIA;1058;24040400000130;;208244423;2402006;;RUA ADALTO DIAS;SN;;VILA DO PRINCIPE;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2025402;MERCADINHO SERTANEJO;1058;11514745000192;;206836389;2405702;;RUA DR RUI MARIZ;;SC;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2025492;MERCADINHO ANASTACIA;1058;09494044000177;;200176711;2411809;;R CAPITAO JOSE INACIO;SN;SC;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2025507;MERCADINHO SAO BERNARDO;1058;10308283000196;;202205024;2405603;;RUA: SEVERINO GERMANO CAVALCANTY;;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2025547;MERCADINHO OLIVEIRA;1058;11718387000126;;202475748;2411809;;RUA BARTOLOMEU VALE;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2026425;MERCADINHO SANTO ANTONIO;1058;03432624000150;;204146417;2408508;;AV. JOSE DA PENHA;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2026440;MERCADINHO QUEIROZ;1058;12727777000175;;204242424;2413409;;R. MANOEL COSME DA SILVA;SN;;ARES BATISTA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2026678;MERCADINHO TRES IRMAOS;1058;07176061000113;;204787873;2413409;;R. OSCAR BATISTA DE FARIAS;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2026828;MERCADINHO CASTELO BRANCO;1058;02627476000110;;208930397;2408904;;PRACA ARNALDO BEZERRA;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2027069;MERCADINHO CUITE;1058;11312623000151;;202138319;2412401;;R. DALVA CIRNE;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2027100;MERCADINHO SANTANA;1058;12823738000131;;203343437;2412401;;R. MANOEL TEODORO;;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2027113;MERCADINHO PAGUE MENOS;1058;00703337000295;;200724271;2408904;;RUA JOSE JOAQUIM FERREIRA DE LIMA;SN;SC;MARIA TERCEIRA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2027680;MERCADINHO NOVO HORIZONTE;1058;03037070000199;;;2402006;;RUA PE FRANCISCO ALVES MAIA;SN;;PAULO VI;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2028423;MERCADINHO NOSSA SENHORA DE FATIMA;1058;12028380000182;;204680863;2411809;;AV CAPITAO JOSE INACIO;SN;SC;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2028431;MERCADINHO ECONOMICO;1058;05452324000198;;209321233;2414308;;RUA MAJOR CAZUZA;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2028683;O MERCADINHO;1058;04446964000151;;208561650;2405603;;RUA ANTONIO BORGES;SN;SC;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;2029175;MERCADINHO NUNES;1058;08389693000189;;;2411809;;BR 427 KM 106 6;;SC;ZONA RURAL;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;30001657;MERCADINHO SAO PAULO;1058;12624246000101;;203830389;2405702;;RUA ANTONIO MATIAS DE AZEVEDO;SN;;ALTO DA BELA VISTA;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;30002372;MERCADINHO ALICIA;1058;13038680000116;;204054503;2414308;;RUA PAULINO BATISTA DE ARAUJO;SN;;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
;0150;30002392;MERCADINHO MATIAS;1058;17172521000136;;207797974;2413409;;RUA CORONEL CLEMENTINO MONTEIRO DE FARIA;SN;SC;CENTRO;;;;;;;;;;;;;;;;;;;;;;;;;;1;
