1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;empresa_competencia;NF
;C190;000;2102;7;28269;28269;1978,83;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;41201206164241000109550010001897881002209457
;C190;000;1102;18;5285;5285;951,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009816931709670035
;C190;000;1102;18;14000;14000;2520;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009816951063347664
;C190;000;1102;18;38840;38840;6991,2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210101312723032916550010008891201178562849
;C190;000;2102;12;10368;10368;1244,16;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;29201202626466000465550010000303891100311858
;C190;000;2910;7;190,4;190,4;13,33;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002771001590680399
;C190;000;2102;7;17462,8;17462,8;1222,4;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;35201264143031000107550010002770951907751080
;C190;000;2102;12;10505,3;10505,3;1260,63;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;27201219692726000112550010000365161838390854
;C190;000;2102;7;51785,31;51785,31;3624,97;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;43201289993239000183550010019334461254676122
;C190;000;1102;18;6691,47;6691,47;1204,47;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24201283631016004897550010000568501659306210
;C190;020;1102;18;3366;2244;403,92;0;0;1122;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24201283631016004897550010000568501659306210
;C190;000;2102;12;15996,75;15235;1828,2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;29201208089790000107550010002082871718912897
;C190;000;1102;18;5285;5285;951,3;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210110709297000136550010009835391794891843
;C190;000;1102;18;32544;32544;5857,92;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210103237272000200550010000787101342521585
;C190;000;2102;12;41006,2;41006,2;4920,74;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;52210124144741000118550050001280351010350949
;C190;000;2102;7;72384;72384;5066,88;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;41210176163731000786550010023326161468107317
;C190;000;2102;7;24225;24225;1695,75;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;41210177379293006048550010013341511160975319
;C190;000;2102;4;12360;12360;494,4;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;41210177379293006048550010013341501105310869
;C190;000;2102;7;23512,5;23512,5;1645,88;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;41210177379293006048550010013341501105310869
;C190;000;1102;18;7814,88;7814,88;1406,68;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210183631016004897550010000570811587687290
;C190;000;1102;18;9213,87;9213,87;1658,5;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210183631016004897550010000572071209865087
;C190;000;2102;4;47943,96;47943,96;1917,76;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;42210111710307000284550080000867271390295102
;C190;000;2102;12;32643,23;32643,23;3917,18;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;52201200805458000707550010001686261722179767
;C190;000;2102;12;8768;8768;1052,16;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;29210102626466000465550010000304541100129540
;C190;000;2102;7;32263,32;32263,32;2258,43;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;41210177579395000228550050021279161136440741
;C190;000;2102;7;50821,7;50821,7;3557,52;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;31210100203832000160550010026646011005884507
;C190;060;1403;;11951,52;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210107671816005427550010003675351297689963
;C190;060;1403;;6183;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210107671816005427550010003675371297689984
;C190;000;1102;18;12240,9;12240,9;2203,36;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210183631016004897550010000576071435826595
;C190;060;1653;;4747,11;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210104443134000161550010000344981000737579
;C190;060;1407;;1970;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;242101229275790001055500100000273951000074492
;C190;090;1556;;320;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;242101030370700001995500100000252811178824743
;C190;090;1556;;80;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;242101131367610001115500100000221181589867417
;C190;020;5102;18;299,8;199,88;35,98;0;0;99,92;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704071734420051
;C190;000;5102;18;57,5;57,5;10,35;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704081274771392
;C190;000;5102;18;153,32;153,32;27,6;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704141011901640
;C190;000;5102;18;951,58;951,58;171,29;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704151921843175
;C190;000;5102;18;143,42;143,42;25,81;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704171893708617
;C190;020;5102;18;111,46;74,31;13,38;0;0;37,15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704171893708617
;C190;060;5405;;74,49;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704171893708617
;C190;000;5102;18;232,15;232,15;41,79;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704201844885190
;C190;060;5405;;554,7;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704201844885190
;C190;000;5102;18;68,99;68,99;12,42;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704231221169414
;C190;000;5102;18;80,33;80,33;14,46;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704241445556494
;C190;020;5102;18;575,1;383,42;69,02;0;0;191,68;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;24210111215452000118550010001704241445556494
